OBJECT_NAME,LOCATOR,VALUE,X_COORD,Y_COORD,WIDTH,HEIGHT
CLASS_TAB_SEPARATORS_LAYOUT,By.CLASS_NAME,tab-separators-layout,1232,0,368,62
CONTENT_SEPARATORS_LAYOUT_STYLE_VALITSE_MIELEISESI_OVIMALLI_T_ST,By.CSS_SELECTOR,.content-separators-layout>.style-header>h2,1240,80,352,28
STYLE_ACTIVE_SELECTION_CHECKED_BG,By.CSS_SELECTOR,div.style.active>.selection-checked>.bg,1268,136,80,80
STYLE_ACTIVE_SELECTION_CHECKED_ICON,By.CSS_SELECTOR,div.style.active>.selection-checked>.icon,1268,136,80,80
SEPARATORS_ELEMENT,By.CSS_SELECTOR,div.separators-element,1287,142,38,62
DISABLE_ELEMENT_TAKAISIN,By.CSS_SELECTOR,.disable-element>span,0,637,160,23
ELEMENT_HELP,By.CSS_SELECTOR,.element-help>span,160,637,80,23
ELEMENT_RESTART_ALOITA_ALUSTA,By.CSS_SELECTOR,.element-restart>span,240,637,240,23
ELEMENT_ENABLE_SEURAAVA_VAIHE,By.CSS_SELECTOR,.element-enable>span,1360,637,240,23
CLASS_CURRENCY,By.CLASS_NAME,currency,1175,639,9,22
CLASS_PRICE,By.CLASS_NAME,price,1190,639,52,22
OVI_PYSTY_KAKSI,By.XPATH,//BODY/SECTION[12]/DIV[2]/DIV[1]/DIV[2]/DIV[2]/DIV[1],1364,136,76,76
OVI_PYSTY_KOLME,By.XPATH,//BODY/SECTION[12]/DIV[2]/DIV[1]/DIV[2]/DIV[3]/DIV[1],1460,136,76,76
